,QID,EID,QPA,PAA,IPA,ISA,Label
39,Mercury_SC_LBS10791,cbc0-61a2-ad48-5ce3,0,0,0,4.8,0
40,Mercury_SC_LBS10791,3f22-4f93-27fe-9ff0,0,0,0,0,0
41,Mercury_SC_LBS10791,c205-b39d-867c-d6e0,0,0.335043951,0.3,4.2,0
42,Mercury_SC_LBS10791,ebee-dba6-703c-ec30,0,0,0,4.8,0
43,Mercury_SC_LBS10791,c644-3cf2-66f8-5376,1.2,0,0,3.6,0
44,Mercury_SC_LBS10791,f4b8-4f96-90d9-7e04,0,0,0,0,0
45,Mercury_SC_LBS10791,f59f-261f-52a9-1771,0,1.3,1.2,3,0
46,Mercury_SC_LBS10791,4a2b-185c-d16f-361d,0,0,0,0,0
47,Mercury_SC_LBS10791,5457-5b8e-eb6c-aea1,0,0,0,0,0
48,Mercury_SC_LBS10791,86bd-c659-9db3-f443,0,0,0,0,0
49,Mercury_SC_LBS10791,7a47-bd85-a07c-bee0,0,0,0,4.8,0
50,Mercury_SC_LBS10791,a98b-a949-e175-63c5,0,0,0,4.8,0
51,Mercury_SC_LBS10791,36a4-da66-ef5a-240d,0,0,0,0,0
52,Mercury_SC_LBS10791,e98e-b9f6-0230-c3f8,0,0,0,4.38691914,0
53,Mercury_SC_LBS10791,3fec-edd9-b5db-ff29,1.2,0,0,3.094794154,0
54,Mercury_SC_LBS10791,2869-d2ab-bfe7-d8af,0,0,0,0,0
55,Mercury_SC_LBS10791,010a-8939-1398-c04d,0,0,0,0,0
56,Mercury_SC_LBS10791,0bbd-c06e-f04f-4a91,0,0,0,4.55875718,0
57,Mercury_SC_LBS10791,023a-cb3f-47ab-8682,0,0,0,4.495195376,0
58,Mercury_SC_LBS10791,0b7b-cf23-e64f-4200,0,0,0,0,0
59,Mercury_SC_LBS10791,199e-442e-e49b-7b5c,0,0,0,4.120143366,0
60,MDSA_2009_4_30,b018-4375-d391-cb98,1.8,0.6,0.6,2.4,1
61,MDSA_2009_4_30,db62-4c2e-6a9d-8b12,1.8,0,0,3,1
62,MDSA_2009_4_30,986b-2bb0-3244-7133,0,0,0,0,1
63,MDSA_2009_4_30,e302-985d-b7ef-ad07,0,0,0,4.8,0
64,MDSA_2009_4_30,31d9-98d7-6a10-9053,0,0.6,0.3,4.2,0
65,MDSA_2009_4_30,3678-1c03-c983-ba31,0,1.2,0,3.6,0
66,MDSA_2009_4_30,6fd0-fd6f-9d28-4a64,0.6,0,0,4.2,0
67,MDSA_2009_4_30,8529-317a-ba9f-b990,0,0,0,0,0
68,MDSA_2009_4_30,cbae-470e-6ea8-ee3c,0.6,0,0,4.2,0
69,MDSA_2009_4_30,164b-feea-a717-7f89,0,0,0,0,0
70,MDSA_2009_4_30,e682-f47d-cc9c-a67c,0,0.364396932,0.6,3.974335996,0
71,MDSA_2009_4_30,0e85-1362-e513-8912,0,0,0,0,0
72,MDSA_2009_4_30,38e7-c5c0-194b-1ed6,0.6,0.6,0.3,3.6,0
73,MDSA_2009_4_30,73fa-1e22-26a8-1a7c,0.6,0.6,0.3,3.6,0
74,MDSA_2009_4_30,d247-b029-3aab-0950,0,0,0,0,0
75,MDSA_2009_4_30,cbb4-12c7-1491-f24b,0,0,0,4.8,0
76,MDSA_2009_4_30,4505-3e07-cfda-f1f5,0,0,0,0,0
77,MDSA_2009_4_30,d997-0d53-44f5-2036,0,0,0,0,0
78,MDSA_2009_4_30,20e2-689d-b7c6-528a,0,0,0,0,0
79,MDSA_2009_4_30,c14b-4971-7d32-d1d3,0,0,0,0,0
80,MDSA_2009_4_30,1ed3-919d-4a4c-1be7,0.6,0,0,4.2,0
81,MDSA_2009_4_30,f3ea-d056-792e-2973,0.6,0,0,4.2,0
82,MDSA_2009_4_30,a988-da0d-6d1a-f0b4,0,0,0,0,0
83,MDSA_2009_4_30,c345-0f27-1027-c29b,0,0,0,0,0
84,MDSA_2009_4_30,2d69-ee53-599f-9438,0,0,0,4.8,0
85,MDSA_2009_4_30,a538-175f-9223-d117,0.6,0,0,4.2,0
86,MDSA_2009_4_30,54cf-cc71-b887-3b08,0,0,0,0,0
87,MDSA_2009_4_30,eb0f-e033-3db2-19ac,0,0.6,0.3,4.2,0
88,MDSA_2009_4_30,a0f5-8469-7346-63fc,0,0,0,0,0
89,MDSA_2009_4_30,5471-05b0-00bd-1669,0,0,0,0,0
90,Mercury_SC_LBS10351,db62-4c2e-6a9d-8b12,0,0,0,0,1
91,Mercury_SC_LBS10351,fc96-f0ff-1c18-337e,0.6,0.6,0,3.6,1
92,Mercury_SC_LBS10351,1a46-dc05-1bd8-5ed7,0,0,0,0,1
93,Mercury_SC_LBS10351,fe39-10c4-9dd9-d745,0,0,0,0,1
94,Mercury_SC_LBS10351,1cca-1ac1-5bea-5cf6,0,0,0,4.8,0
95,Mercury_SC_LBS10351,99ae-d6df-1dd6-1d3f,0,0.6,0,4.2,0
96,Mercury_SC_LBS10351,2544-b803-8031-cad3,0,0,0,0,0
97,Mercury_SC_LBS10351,3455-c2ca-8db5-2694,0.6,0,0,4.2,0
98,Mercury_SC_LBS10351,6547-5706-4e4b-6323,0,0,0,4.8,0
99,Mercury_SC_LBS10351,4f24-f389-8943-a78d,0,0,0,0,0
100,Mercury_SC_LBS10351,92e5-34ee-da79-3c25,0.6,0,0,4.2,0
101,Mercury_SC_LBS10351,f299-26e4-a84d-d705,0,0,0,0,0
102,Mercury_SC_LBS10351,50fa-82d9-2062-4967,0.6,0,0,3.713474656,0
103,Mercury_SC_LBS10351,d671-cda9-6231-f866,0,0,0,0,0
104,Mercury_SC_LBS10351,8987-49e2-b4bd-59bd,0.6,0,0,3.739114429,0
105,Mercury_SC_LBS10351,8964-ffba-1a27-a4d0,0,0,0,0,0
106,Mercury_SC_LBS10351,04a9-7e5a-7889-df49,0,0,0,0,0
107,Mercury_SC_LBS10351,049d-aaac-9f21-da33,0.6,0,0,3.713221733,0
108,Mercury_SC_LBS10351,73fa-1e22-26a8-1a7c,0,0,0,4.8,0
109,Mercury_SC_LBS10351,49f5-727d-92b5-03aa,0,0,0,4.8,0
110,Mercury_SC_LBS10351,b7c8-a816-2ceb-d787,0,0.6,0,4.2,0
111,Mercury_SC_LBS10351,986b-2bb0-3244-7133,0,0,0,0,0
112,Mercury_SC_LBS10351,d24c-f803-c449-70d5,0,0,0,0,0
113,Mercury_SC_LBS10351,8398-1fe9-5a87-85b3,0.6,0,0,4.2,0
114,Mercury_SC_LBS10351,89d8-f29a-b42a-c12b,0,0,0,4.8,0
115,Mercury_SC_LBS10351,1d13-2365-305d-1e1b,0,0,0,4.8,0
116,Mercury_SC_LBS10351,93e7-26bc-363f-b089,0,0.6,0,3.953592128,0
117,Mercury_SC_LBS10351,1985-b68a-dd8e-ef6f,0,0,0,0,0
118,Mercury_SC_LBS10351,b86d-52b4-716d-528f,0,0,0,0,0
119,Mercury_SC_LBS10351,a7ec-4506-0e8a-ce2e,0,0,0,0,0
120,Mercury_SC_401371,a972-0cbb-3c14-b098,0.6,0,0,3.32744452,1
121,Mercury_SC_401371,9318-8c1b-0902-d588,0,0,0,0,1
122,Mercury_SC_401371,aacf-3442-3b46-b964,0,0.426396677,0,4.2,1
123,Mercury_SC_401371,d257-69b5-a1b9-f7e7,0,0,0,4.8,1
124,Mercury_SC_401371,0da9-2984-f126-bcad,0,0,0,4.8,1
125,Mercury_SC_401371,af26-8083-b908-7d3b,0,0,0,4.8,1
126,Mercury_SC_401371,dbe8-e776-f804-99a0,0,0,0,4.8,1
127,Mercury_SC_401371,e901-c400-086c-8302,0,0,0,4.8,1
128,Mercury_SC_401371,1572-7435-ca51-53b2,0,0,0,0,0
129,Mercury_SC_401371,2655-9071-3456-3a2c,0,0,0,0,0
130,Mercury_SC_401371,55ff-93d9-0729-dfdc,0,0,0,4.8,0
131,Mercury_SC_401371,2511-f015-94c8-0157,0,0,0,0,0
132,Mercury_SC_401371,df49-3285-6193-e5f5,1.2,0,0,3.6,0
133,Mercury_SC_401371,1387-00ac-440c-88d9,0,0,0,0,0
134,Mercury_SC_401371,5be6-58b4-ec52-40b2,0,0,0,0,0
135,Mercury_SC_401371,e565-87e6-6f00-1598,0,0,0,4.8,0
136,Mercury_SC_401371,22da-2a8a-8baa-1259,0,0,0,0,0
137,Mercury_SC_401371,379c-057c-119a-a5bd,0,0,0,0,0
138,Mercury_SC_401371,30ab-d35b-20bf-865f,0,0,0,0,0
139,Mercury_SC_401371,2d69-ee53-599f-9438,0,0,0,4.8,0
140,Mercury_SC_401371,3b7f-815d-511b-c7bb,0,0,0,0,0
141,Mercury_SC_401371,e684-ed12-2c74-c5cc,0,0,0,0,0
142,Mercury_SC_401371,1f37-479f-42cb-30b2,1.2,0,0,3.6,0
143,Mercury_SC_401371,7e55-15d2-7655-88f0,0,0,0,4.8,0
144,Mercury_SC_401371,0a6a-f5dd-7c73-ed64,0,0,0,0,0
145,Mercury_SC_401371,9ed6-4e8f-abab-588b,0.6,0,0,4.2,0
146,Mercury_SC_401371,d3ac-d13c-97bb-6a5a,0,0,0,4.8,0
147,Mercury_SC_401371,f608-68a4-9b75-3800,0.6,0,0,4.2,0
148,Mercury_SC_401371,1b5d-d4eb-509c-bf83,0,0,0,0,0
149,Mercury_SC_401371,3a14-9cd4-c11b-d164,0,0,0,0,0
150,MCAS_2008_5_5638,49f5-727d-92b5-03aa,1.8,1.2,0.6,1.8,1
151,MCAS_2008_5_5638,825b-a440-75bd-3001,0.6,0.6,0,3.6,1
152,MCAS_2008_5_5638,395b-4954-311f-4749,0.6,0.6,0.3,3.6,1
153,MCAS_2008_5_5638,e473-7297-61c1-56fa,0.6,0.6,0.3,3.6,1
154,MCAS_2008_5_5638,dbe8-e776-f804-99a0,0,0,0,0,1
155,MCAS_2008_5_5638,a7ec-4506-0e8a-ce2e,1.659375,0,0,3,0
156,MCAS_2008_5_5638,c6f7-70cd-eaa9-4e84,0,0.6,0.3,4.2,0
157,MCAS_2008_5_5638,0285-a0b4-8c82-afce,0,0,0,0,0
158,MCAS_2008_5_5638,2e0a-f36c-9059-cdb1,0,0,0,0,0
159,MCAS_2008_5_5638,e202-3f7d-7259-9efa,0,1.2,0.3,3.6,0
160,MCAS_2008_5_5638,d047-b416-20a3-5fca,0,0.6,0,4.2,0
161,MCAS_2008_5_5638,38a3-88df-f958-0049,0,0.6,0.3,4.2,0
162,MCAS_2008_5_5638,20e2-689d-b7c6-528a,0,0,0,0,0
163,MCAS_2008_5_5638,fc96-f0ff-1c18-337e,1.8,0,0,3,0
164,MCAS_2008_5_5638,dd7d-0d6d-91f5-1a83,0,0,0,0,0
165,MCAS_2008_5_5638,31d9-98d7-6a10-9053,0.6,0.6,0.6,3.6,0
166,MCAS_2008_5_5638,c14b-4971-7d32-d1d3,0,0,0,0,0
167,MCAS_2008_5_5638,d1b6-ccd1-514a-b7d9,0,0,0,0,0
168,MCAS_2008_5_5638,4ba2-35d1-c2d9-ca91,0,0,0,0,0
169,MCAS_2008_5_5638,a0f5-8469-7346-63fc,0.6,0,0,4.2,0
170,MCAS_2008_5_5638,2544-b803-8031-cad3,0,0,0,0,0
171,MCAS_2008_5_5638,0a6a-f5dd-7c73-ed64,0,0,0,0,0
172,MCAS_2008_5_5638,66df-2200-f730-17c3,0,0.381741246,0.3,4.2,0
173,MCAS_2008_5_5638,4505-3e07-cfda-f1f5,0,0,0,0,0
174,MCAS_2008_5_5638,8480-ef3c-4b12-ea60,0,0,0,0,0
175,MCAS_2008_5_5638,1cca-1ac1-5bea-5cf6,0,0.6,0,4.2,0
176,MCAS_2008_5_5638,73fa-1e22-26a8-1a7c,1.2,0,0,3.6,0
177,MCAS_2008_5_5638,e69e-2f0a-37ff-2268,0,0,0,0,0
178,MCAS_2008_5_5638,967c-c4d5-4455-0e4b,0,0,0,0,0
179,MCAS_2008_5_5638,c697-5766-b5be-4c74,1.2,0.6,0.3,3,0
180,MCAS_2012_5_18,73fa-1e22-26a8-1a7c,1.8,1.8,0.6,1.2,1
181,MCAS_2012_5_18,5be6-58b4-ec52-40b2,1.2,0,0,3.6,1
182,MCAS_2012_5_18,e565-87e6-6f00-1598,1.2,0,0,3.6,1
183,MCAS_2012_5_18,d257-69b5-a1b9-f7e7,1.2,0,0,3.6,1
184,MCAS_2012_5_18,0da9-2984-f126-bcad,0.6,0,0,4.2,1
185,MCAS_2012_5_18,825b-a440-75bd-3001,0,0.6,0,4.2,1
186,MCAS_2012_5_18,e473-7297-61c1-56fa,0,0.6,0.3,4.2,1
187,MCAS_2012_5_18,af26-8083-b908-7d3b,0,0,0,0,1
188,MCAS_2012_5_18,dbe8-e776-f804-99a0,0,0,0,0,1
189,MCAS_2012_5_18,395b-4954-311f-4749,0,0,0,0,1
190,MCAS_2012_5_18,0e85-1362-e513-8912,0,0,0,0,0
191,MCAS_2012_5_18,cbb4-12c7-1491-f24b,0,0,0,4.8,0
192,MCAS_2012_5_18,9ed6-4e8f-abab-588b,0,0,0,0,0
193,MCAS_2012_5_18,e302-985d-b7ef-ad07,0,0,0,4.8,0
194,MCAS_2012_5_18,31d9-98d7-6a10-9053,0.6,0.6,0.6,3.371850602,0
195,MCAS_2012_5_18,d047-b416-20a3-5fca,0,1.2,0.3,3.6,0
196,MCAS_2012_5_18,aacf-3442-3b46-b964,0,0,0,0,0
197,MCAS_2012_5_18,1cca-1ac1-5bea-5cf6,0,0,0,0,0
198,MCAS_2012_5_18,4505-3e07-cfda-f1f5,0,0,0,0,0
199,MCAS_2012_5_18,2d69-ee53-599f-9438,0,0,0,0,0
200,MCAS_2012_5_18,a0f5-8469-7346-63fc,0,0,0,4.8,0
201,MCAS_2012_5_18,f8be-9407-d60e-6282,1.8,0,0,3,0
202,MCAS_2012_5_18,f603-3c96-a570-1918,0.6,0,0,4.2,0
203,MCAS_2012_5_18,c697-5766-b5be-4c74,1.2,0,0,3.6,0
204,MCAS_2012_5_18,49f5-727d-92b5-03aa,1.8,1.2,0.6,1.8,0
205,MCAS_2012_5_18,6c89-6ed2-9da5-f75d,0,0,0,0,0
206,MCAS_2012_5_18,0285-a0b4-8c82-afce,0,0,0,0,0
207,MCAS_2012_5_18,f5d1-54ee-c653-9285,0,0,0,0,0
208,MCAS_2012_5_18,e3bb-24f6-ffb3-cba0,0,0,0,0,0
209,MCAS_2012_5_18,2544-b803-8031-cad3,0,0,0,0,0
210,ACTAAP_2012_7_5,73fa-1e22-26a8-1a7c,0.1,1.2,0.6,3,1
211,ACTAAP_2012_7_5,fae5-1f95-1138-9bc4,0,0,0,0,1
212,ACTAAP_2012_7_5,e3ef-dc1e-a5d7-b85a,0,0,0,0,1
213,ACTAAP_2012_7_5,d711-ca1e-0766-bd59,0,0,0,4.8,0
214,ACTAAP_2012_7_5,957f-c72c-c164-1afa,0,0,0,4.8,0
215,ACTAAP_2012_7_5,5471-05b0-00bd-1669,0,0,0,0,0
216,ACTAAP_2012_7_5,936f-140e-2ef7-2d6d,0,0,0,0,0
217,ACTAAP_2012_7_5,b75d-4ff4-3225-6e84,0,0,0,4.8,0
218,ACTAAP_2012_7_5,f5d1-54ee-c653-9285,0,0,0,0,0
219,ACTAAP_2012_7_5,49f5-727d-92b5-03aa,0,1.2,0.6,3.6,0
220,ACTAAP_2012_7_5,e302-985d-b7ef-ad07,0.6,0.6,0,3.6,0
221,ACTAAP_2012_7_5,31d9-98d7-6a10-9053,0,0,0,0,0
222,ACTAAP_2012_7_5,baa2-f46a-1f54-b0a2,0,0,0,0,0
223,ACTAAP_2012_7_5,1cca-1ac1-5bea-5cf6,0.1,0.6,0.6,3.6,0
224,ACTAAP_2012_7_5,8939-25ca-fb9c-d790,0,0,0,0,0
225,ACTAAP_2012_7_5,0c41-af41-3fb6-6308,0,0,0,4.8,0
226,ACTAAP_2012_7_5,0285-a0b4-8c82-afce,0,0,0,0,0
227,ACTAAP_2012_7_5,4505-3e07-cfda-f1f5,0,0,0,0,0
228,ACTAAP_2012_7_5,2d69-ee53-599f-9438,0.6,0,0,4.2,0
229,ACTAAP_2012_7_5,a988-da0d-6d1a-f0b4,0,0,0,4.8,0
230,ACTAAP_2012_7_5,c697-5766-b5be-4c74,0,1.2,0.3,3.6,0
231,ACTAAP_2012_7_5,4e12-62f2-0830-d602,0,0,0,4.8,0
232,ACTAAP_2012_7_5,7e55-15d2-7655-88f0,0,0,0,4.8,0
233,ACTAAP_2012_7_5,8b4a-4514-151c-a7b4,0,0,0,0,0
234,ACTAAP_2012_7_5,2655-9071-3456-3a2c,0,0,0,0,0
235,ACTAAP_2012_7_5,bbf1-262a-c774-3f47,0.6,0.6,0,3.6,0
236,ACTAAP_2012_7_5,cbb4-12c7-1491-f24b,0,0,0,0,0
237,ACTAAP_2012_7_5,af26-8083-b908-7d3b,0,0.6,0,4.2,0
238,ACTAAP_2012_7_5,a352-bde5-b854-f460,0,0.6,0.3,4.2,0
239,ACTAAP_2012_7_5,5095-dfd3-1847-a4a0,0,0,0,0,0
240,AKDE&ED_2008_4_45,4e12-62f2-0830-d602,1.2,0,0,3.6,1
241,AKDE&ED_2008_4_45,a538-175f-9223-d117,1.2,0,0,3.6,1
242,AKDE&ED_2008_4_45,12b0-e9bb-c84e-6a42,1.2,0,0,3.6,1
243,AKDE&ED_2008_4_45,859f-86f6-8ed6-3885,0,0,0,0,0
244,AKDE&ED_2008_4_45,cbb4-12c7-1491-f24b,0.6,0,0,4.2,0
245,AKDE&ED_2008_4_45,957f-c72c-c164-1afa,0,0,0,0,0
246,AKDE&ED_2008_4_45,3530-0fd9-f523-ac33,0.6,0,0,4.2,0
247,AKDE&ED_2008_4_45,c463-e7fe-1eeb-840d,0.6,0,0,4.2,0
248,AKDE&ED_2008_4_45,2655-9071-3456-3a2c,0,0,0,0,0
249,AKDE&ED_2008_4_45,2d69-ee53-599f-9438,0,0,0,4.8,0
250,AKDE&ED_2008_4_45,af26-8083-b908-7d3b,1.8,0,0,3,0
251,AKDE&ED_2008_4_45,a352-bde5-b854-f460,0,0,0,0,0
252,AKDE&ED_2008_4_45,ee54-4b39-996f-44ce,1.8,0,0,3,0
253,AKDE&ED_2008_4_45,96fa-0fe3-5abf-3fbb,0.6,0.365514868,0,3.6,0
254,AKDE&ED_2008_4_45,53cf-161f-7a43-8925,1.8,0,0,3,0
255,AKDE&ED_2008_4_45,c6d8-7199-8e94-b928,0.6,0,0,4.2,0
256,AKDE&ED_2008_4_45,0390-aada-ce88-9040,0,0,0,0,0
257,AKDE&ED_2008_4_45,a0f5-8469-7346-63fc,0,0,0,0,0
258,AKDE&ED_2008_4_45,23b2-6887-354c-8c29,0,0,0,0,0
259,AKDE&ED_2008_4_45,397b-d199-32b2-6e1f,0,0,0,0,0
260,AKDE&ED_2008_4_45,ffc8-4214-81e1-3903,0,0,0,0,0
261,AKDE&ED_2008_4_45,4b45-65e4-b5c2-85c9,0,0,0,4.8,0
262,AKDE&ED_2008_4_45,a988-da0d-6d1a-f0b4,0.6,0,0,4.2,0
263,AKDE&ED_2008_4_45,e3bb-24f6-ffb3-cba0,0,0,0,0,0
264,AKDE&ED_2008_4_45,e302-985d-b7ef-ad07,0,0,0,4.8,0
265,AKDE&ED_2008_4_45,0c41-af41-3fb6-6308,0,0,0,0,0
266,AKDE&ED_2008_4_45,21c4-9c19-042e-6357,0,0,0,0,0
267,AKDE&ED_2008_4_45,d711-ca1e-0766-bd59,0.6,0,0,4.2,0
268,AKDE&ED_2008_4_45,393c-5d80-c259-3ee9,0,0,0,0,0
269,AKDE&ED_2008_4_45,c3b3-283a-48f3-172e,0,0,0,0,0
270,AKDE&ED_2012_4_22,4e12-62f2-0830-d602,1.2,0.6,0.3,3,1
271,AKDE&ED_2012_4_22,a538-175f-9223-d117,0.6,0,0,4.2,1
272,AKDE&ED_2012_4_22,769f-6117-1272-9b62,0,0,0,0,1
273,AKDE&ED_2012_4_22,c14b-4971-7d32-d1d3,1.8,0,0,3,1
274,AKDE&ED_2012_4_22,12b0-e9bb-c84e-6a42,1.2,0,0,3.6,1
275,AKDE&ED_2012_4_22,fc96-f0ff-1c18-337e,1.8,0,0,3,0
276,AKDE&ED_2012_4_22,6d8b-4921-2f90-3495,0,0,0,0,0
277,AKDE&ED_2012_4_22,49f5-727d-92b5-03aa,1.2,0.6,0.6,3,0
278,AKDE&ED_2012_4_22,beff-ff71-8de4-ab6c,0,0,0,0,0
279,AKDE&ED_2012_4_22,a988-da0d-6d1a-f0b4,0,0,0,0,0
280,AKDE&ED_2012_4_22,f68e-a794-ed56-b7e5,0,0,0,0,0
281,AKDE&ED_2012_4_22,0c41-af41-3fb6-6308,0,0,0,0,0
282,AKDE&ED_2012_4_22,957f-c72c-c164-1afa,0,0,0,0,0
283,AKDE&ED_2012_4_22,b018-4375-d391-cb98,2.4,0.6,0.3,1.8,0
284,AKDE&ED_2012_4_22,a0f5-8469-7346-63fc,2.4,0.6,0,1.8,0
285,AKDE&ED_2012_4_22,dd7d-0d6d-91f5-1a83,0,0,0,0,0
286,AKDE&ED_2012_4_22,e302-985d-b7ef-ad07,0.6,0,0,4.2,0
287,AKDE&ED_2012_4_22,fe9e-0b3d-813c-75d7,0,1.2,0.3,3.6,0
288,AKDE&ED_2012_4_22,73fa-1e22-26a8-1a7c,0.6,0.6,0.6,3.6,0
289,AKDE&ED_2012_4_22,d711-ca1e-0766-bd59,0,1.2,0,3.6,0
290,AKDE&ED_2012_4_22,7776-3880-0a8c-9715,1.2,0,0,3.6,0
291,AKDE&ED_2012_4_22,eed1-42ea-b787-ef59,1.2,0,0,3.6,0
292,AKDE&ED_2012_4_22,0d83-db1e-d92b-0bf0,0.6,0,0,4.2,0
293,AKDE&ED_2012_4_22,cbb4-12c7-1491-f24b,0,0,0,0,0
294,AKDE&ED_2012_4_22,a7ec-4506-0e8a-ce2e,0,0,0,0,0
295,AKDE&ED_2012_4_22,c345-0f27-1027-c29b,0,0,0,0,0
296,AKDE&ED_2012_4_22,8939-25ca-fb9c-d790,0,0,0,4.8,0
297,AKDE&ED_2012_4_22,2544-b803-8031-cad3,0,0,0,0,0
298,AKDE&ED_2012_4_22,be45-3cb8-edbc-dd56,0,0,0,0,0
299,AKDE&ED_2012_4_22,42a1-9b95-5492-e40c,0,0,0,0,0
300,AKDE&ED_2012_8_5,12b0-e9bb-c84e-6a42,0,-0.4,1.2,4.2,1
301,AKDE&ED_2012_8_5,04ee-408f-6c7a-54fc,0,0,0,0,1
302,AKDE&ED_2012_8_5,580f-1d81-36b1-adb3,0,0.6,0.3,4.2,1
303,AKDE&ED_2012_8_5,8369-8669-0725-2c00,0,0,0,0,1
304,AKDE&ED_2012_8_5,b877-a58b-f75a-3998,0,0,0,0,1
305,AKDE&ED_2012_8_5,72aa-c401-72cf-ded5,0,0,0,4.8,1
306,AKDE&ED_2012_8_5,53d0-8110-c683-52da,0,0,0,4.8,1
307,AKDE&ED_2012_8_5,06c3-a0a5-1428-9867,0,0,0,0,1
308,AKDE&ED_2012_8_5,b605-9c58-598d-817e,0,0,0,0,1
309,AKDE&ED_2012_8_5,2980-ded2-b96d-7722,0.278571429,0,0,4.2,1
310,AKDE&ED_2012_8_5,96fa-0fe3-5abf-3fbb,0.6,0,0,4.2,0
311,AKDE&ED_2012_8_5,be98-6590-1dd0-8eb6,0,0,0,0,0
312,AKDE&ED_2012_8_5,44df-5a0a-23f4-7a7b,0,0,0,0,0
313,AKDE&ED_2012_8_5,b72b-62d2-5281-f92e,0.6,0.6,0.6,3.6,0
314,AKDE&ED_2012_8_5,b9e7-6612-b3bc-264a,0.6,0.397430652,0.6,3.6,0
315,AKDE&ED_2012_8_5,ecaa-986c-f0be-b665,0,0,0,0,0
316,AKDE&ED_2012_8_5,2139-9134-1cc2-2c33,0.57037037,0,0,4.2,0
317,AKDE&ED_2012_8_5,0285-a0b4-8c82-afce,0,0,0,0,0
318,AKDE&ED_2012_8_5,aaba-f425-4c78-0fa5,0.6,0.341573043,0.6,3.6,0
319,AKDE&ED_2012_8_5,c3b3-283a-48f3-172e,0,0,0,0,0
320,AKDE&ED_2012_8_5,eb23-6d22-1fc7-596a,0,0,0,0,0
321,AKDE&ED_2012_8_5,dfb6-4ce2-e5ae-b00b,0,0.6,0.3,4.2,0
